Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2383,JSWSTEEL,EQ,277.4,280.0,280.0,272.0,277.55,277.45,276.05,68799,1899169280000.0,,35960,0.5227
2384,JSWSTEEL,EQ,277.45,285.0,285.0,271.2,273.05,273.75,274.84,51021,1402253160000.0,,21514,0.4217
2385,JSWSTEEL,EQ,273.75,230.1,277.0,230.1,276.15,274.25,270.57,192362,5204809165000.0,,112546,0.5851
2386,JSWSTEEL,EQ,274.25,280.0,280.0,266.0,268.7,269.6,272.46,51947,1415364090000.0,,17758,0.3418
2387,JSWSTEEL,EQ,269.6,266.0,267.85,252.0,262.0,263.2,264.1,54133,1429629505000.0,,22063,0.4075999999999999
2390,JSWSTEEL,EQ,263.2,265.0,265.0,254.0,254.1,254.65,258.35,35899,927448850000.0,,13617,0.3793
2391,JSWSTEEL,EQ,254.65,256.95,258.0,243.5,245.5,246.05,250.07,46769,1169530710000.0,,20284,0.4337
2392,JSWSTEEL,EQ,246.05,249.95,260.0,244.05,248.95,246.45,248.2,72563,1801042985000.0002,,41945,0.578
2393,JSWSTEEL,EQ,246.45,254.0,259.8,249.0,249.0,249.8,251.0,64413,1616741840000.0,,40971,0.6361
2394,JSWSTEEL,EQ,249.8,260.0,260.0,243.5,244.0,244.65,245.21,52607,1289975680000.0,,38981,0.741
2397,JSWSTEEL,EQ,244.65,245.9,245.9,233.0,238.5,238.6,238.51,23113,551271805000.0,,12675,0.5484
2398,JSWSTEEL,EQ,238.6,240.0,244.0,230.1,236.5,236.25,236.79,177077,4192936465000.0,,62777,0.3545
2399,JSWSTEEL,EQ,236.25,237.1,242.6,230.55,233.5,232.4,236.16,88270,2084557605000.0,,43200,0.4894
2400,JSWSTEEL,EQ,232.4,235.0,237.5,222.55,227.95,229.15,229.74,154464,3548682454999.9995,,104427,0.6761
2401,JSWSTEEL,EQ,229.15,230.0,232.9,225.05,225.05,226.2,228.34,68127,1555644540000.0,,32823,0.4818
2404,JSWSTEEL,EQ,226.2,235.0,240.7,230.0,239.5,239.2,237.37,111505,2646752570000.0,,76825,0.6890000000000001
2405,JSWSTEEL,EQ,239.2,239.2,242.3,233.05,235.4,236.25,238.01,41492,987549885000.0,,19313,0.4654999999999999
2406,JSWSTEEL,EQ,236.25,239.0,248.9,233.05,243.7,246.25,242.5,102474,2485012460000.0,,70174,0.6848000000000001
2407,JSWSTEEL,EQ,246.25,250.0,253.0,240.0,240.4,242.55,247.04,86347,2133118415000.0,,30067,0.3482
2408,JSWSTEEL,EQ,242.55,245.0,245.0,240.0,241.0,240.3,242.33,38657,936776830000.0,,14896,0.3853
2411,JSWSTEEL,EQ,240.3,245.0,245.0,235.05,237.8,237.9,238.05,23179,551786925000.0,,12272,0.5294
2412,JSWSTEEL,EQ,237.9,238.5,242.0,238.1,238.75,239.55,239.89,29188,700184425000.0,,18655,0.6391
2413,JSWSTEEL,EQ,239.55,244.9,245.2,236.0,243.55,244.2,242.86,57995,1408446045000.0,,39810,0.6864
2414,JSWSTEEL,EQ,244.2,242.05,249.0,241.4,242.95,243.25,244.7,67143,1643010990000.0,,41881,0.6238
2415,JSWSTEEL,EQ,243.25,245.0,252.9,239.25,242.2,242.75,247.15,130302,3220430965000.0,,79234,0.6081000000000001
2418,JSWSTEEL,EQ,242.75,245.7,248.0,243.2,247.25,246.35,246.31,61334,1510713085000.0,,31489,0.5134000000000001
2420,JSWSTEEL,EQ,246.35,249.9,282.4,249.9,281.0,279.05,269.24,393163,10585675485000.0,,208877,0.5313
2421,JSWSTEEL,EQ,279.05,280.0,282.8,267.5,275.0,275.75,275.56,285309,7861882490000.001,,129502,0.4539
2422,JSWSTEEL,EQ,275.75,276.05,278.0,274.75,276.05,276.8,275.44,111693,3076422010000.0,,68274,0.6113000000000001
2425,JSWSTEEL,EQ,276.8,280.0,283.45,270.15,275.0,275.3,277.56,84027,2332278270000.0,,35591,0.4236
2426,JSWSTEEL,EQ,275.3,284.85,298.5,279.5,284.05,283.75,284.61,165763,4717794245000.0,,79989,0.4826
2427,JSWSTEEL,EQ,283.75,290.0,294.25,284.05,294.0,291.2,291.23,217587,6336864125000.0,,100678,0.4627
2428,JSWSTEEL,EQ,291.2,292.9,297.0,285.05,290.0,289.25,290.9,148139,4309302105000.0,,53866,0.3636
2429,JSWSTEEL,EQ,289.25,295.0,295.0,287.0,291.15,290.0,290.42,104624,3038499230000.0,,37905,0.3622999999999999
2432,JSWSTEEL,EQ,290.0,300.0,300.0,286.0,293.0,293.15,292.55,106910,3127653385000.0,,49033,0.4586
2433,JSWSTEEL,EQ,293.15,300.0,300.0,290.15,290.7,291.9,294.55,119323,3514616785000.0,,72940,0.6113000000000001
2434,JSWSTEEL,EQ,291.9,293.4,293.4,276.1,278.95,278.2,282.87,117608,3326734195000.0,,69498,0.5909000000000001
2435,JSWSTEEL,EQ,278.2,277.6,283.4,274.75,276.3,275.55,276.17,97958,2705328280000.0,,55985,0.5715
2436,JSWSTEEL,EQ,275.55,278.0,279.8,274.1,275.0,276.7,276.41,115337,3188022540000.0,,74420,0.6452
2439,JSWSTEEL,EQ,276.7,276.1,280.0,274.05,279.1,279.85,276.43,152023,4202349685000.0,,116412,0.7658
2440,JSWSTEEL,EQ,279.85,276.0,287.0,276.0,282.0,284.9,283.54,204217,5790372680000.0,,151923,0.7439
2441,JSWSTEEL,EQ,284.9,289.0,289.0,279.0,280.0,279.65,282.2,96605,2726187235000.0,,50838,0.5262
2442,JSWSTEEL,EQ,279.65,284.75,284.75,260.05,277.75,278.85,279.27,109329,3053277325000.0,,47634,0.4357
2443,JSWSTEEL,EQ,278.85,279.0,282.7,274.5,275.1,275.1,276.85,145006,4014534515000.0,,107002,0.7379000000000001
2446,JSWSTEEL,EQ,275.1,279.0,279.0,269.0,275.25,273.15,274.49,62643,1719518289999.9998,,45035,0.7189
2447,JSWSTEEL,EQ,273.15,279.9,279.9,267.0,274.55,275.15,274.77,53207,1461971110000.0,,39459,0.7415999999999999
2448,JSWSTEEL,EQ,275.15,279.95,279.95,272.0,272.0,272.15,274.81,65408,1797446375000.0,,44400,0.6788
2449,JSWSTEEL,EQ,272.15,275.7,276.0,272.0,272.0,272.75,273.9,28408,778094645000.0,,15306,0.5388000000000001
2450,JSWSTEEL,EQ,272.75,272.05,273.5,267.1,270.0,270.4,270.46,35526,960825125000.0,,18028,0.5075000000000001
2453,JSWSTEEL,EQ,270.4,272.5,272.7,267.95,268.0,268.05,269.39,43093,1160861725000.0,,19636,0.4557
2454,JSWSTEEL,EQ,268.05,269.0,274.4,262.1,267.5,265.05,269.27,53838,1449707535000.0,,27278,0.5067
2455,JSWSTEEL,EQ,265.05,266.9,268.85,262.25,263.5,263.9,264.97,40696,1078337200000.0,,21606,0.5309
2456,JSWSTEEL,EQ,263.9,265.05,272.7,265.05,269.0,268.85,269.03,81535,2193560170000.0,,35610,0.4367
2457,JSWSTEEL,EQ,268.85,270.0,277.3,269.0,276.0,275.7,274.63,198898,5462351960000.0,,117726,0.5919
2460,JSWSTEEL,EQ,275.7,272.0,281.5,272.0,279.3,278.5,278.4,134228,3736877845000.001,,77486,0.5773
2461,JSWSTEEL,EQ,278.5,272.0,281.9,272.0,273.2,274.55,276.71,51103,1414059465000.0,,29168,0.5708
2462,JSWSTEEL,EQ,274.55,275.5,290.0,275.5,284.0,284.75,285.96,351370,10047877795000.0,,196650,0.5597
2463,JSWSTEEL,EQ,284.75,285.0,289.0,279.1,282.55,281.25,284.12,265536,7544289830000.0,,157466,0.593
2464,JSWSTEEL,EQ,281.25,286.0,296.95,284.0,284.0,285.4,290.65,230764,6707123755000.0,,106075,0.4597
2468,JSWSTEEL,EQ,285.4,288.8,292.5,285.1,289.5,289.15,289.91,187527,5436529730000.0,,99601,0.5311
2469,JSWSTEEL,EQ,289.15,294.8,294.8,284.25,286.6,287.4,288.94,101926,2945005385000.0,,35040,0.3438
2470,JSWSTEEL,EQ,287.4,290.0,292.9,285.1,288.1,287.4,288.38,88969,2565679475000.0,,47043,0.5288
2471,JSWSTEEL,EQ,287.4,298.0,311.9,289.05,307.65,307.6,301.32,561153,16908412605000.002,,280049,0.4991
2474,JSWSTEEL,EQ,307.6,309.9,309.9,299.05,301.05,300.85,302.8,117883,3569535615000.0,,63524,0.5389
2475,JSWSTEEL,EQ,300.85,300.05,305.0,295.1,297.15,296.65,300.66,99820,3001208945000.0,,42325,0.424
2476,JSWSTEEL,EQ,296.65,309.9,309.9,290.3,291.45,292.1,295.42,76356,2255708450000.0,,36661,0.4800999999999999
2477,JSWSTEEL,EQ,292.1,295.7,305.4,291.0,302.2,303.6,301.75,237086,7154086095000.0,,138868,0.5857
2478,JSWSTEEL,EQ,303.6,305.5,308.0,295.25,296.75,296.65,301.82,171630,5180208145000.0,,86369,0.5032
2481,JSWSTEEL,EQ,296.65,298.0,304.4,298.0,301.8,301.05,301.19,212448,6398779955000.0,,143027,0.6731999999999999
2482,JSWSTEEL,EQ,301.05,290.1,308.5,290.1,304.15,305.55,304.88,301121,9180581460000.0,,186295,0.6187
2483,JSWSTEEL,EQ,305.55,305.7,317.4,302.6,317.0,315.65,312.18,646875,20193957925000.0,,389549,0.6022
2484,JSWSTEEL,EQ,315.65,324.9,332.0,305.0,330.0,325.85,314.71,5292007,166546939160000.0,,3799277,0.7179000000000001
2485,JSWSTEEL,EQ,325.85,334.9,338.0,326.25,326.25,329.05,333.51,756593,25232917480000.0,,345339,0.4564
2486,JSWSTEEL,EQ,329.05,329.95,335.0,329.0,331.65,330.4,331.69,169649,5627149195000.0,,97725,0.5760000000000001
2488,JSWSTEEL,EQ,330.4,339.7,339.7,330.1,335.2,333.9,334.14,194399,6495582060000.0,,86654,0.4458
2491,JSWSTEEL,EQ,333.9,334.0,336.4,321.05,335.0,334.5,331.3,279205,9250144555000.0,,152096,0.5447
2492,JSWSTEEL,EQ,334.5,337.0,346.5,330.5,344.0,344.75,340.92,409932,13975462650000.0,,257881,0.6291
2495,JSWSTEEL,EQ,344.75,344.75,345.0,336.2,343.0,340.8,339.9,237219,8063008175000.0,,159358,0.6718000000000001
